AddMultipleEntriesSameRoomSameDayTest,AddEntryTest,CheckEntryTest,AddBuildingTest,AddMultipleRoomsTest,CheckMultipleEntriesTest,AddLongNameBuildingNegativeTest,SearchEntryNegativeTest,AddMultipleEntriesDifferentRoomsSameDayTest,AddLongNameRoomNegativeTest,AddMultipleEntriesSameRoomDifferentDaysTest,AddRoomTest,RemoveBuildingTest,AddAndRemoveSerialEntryTest,CheckBuildingRoomTest,RemoveMultipleRoomsTest,RemoveMultipleEntriesTest,AddMultipleEntriesDifferentRoomsDifferentDaysTest,CheckMultipleBuildingRoomsTest,RemoveRoomTest,RemoveEntryTest,SearchMultipleEntriesTest
3.44,1.794,1.027,1.217,2.766,1.699,1.494,1.055,4.533,2.05,4.286,1.822,1.327,3.879,0.842,2.142,4.947,3.239,1.016,1.549,1.519,1.338
3.368,1.75,1.051,1.174,2.682,1.784,1.477,1.055,4.388,1.99,4.402,1.707,1.377,4.021,0.848,2.088,4.935,3.252,0.958,1.527,1.548,1.402
3.416,1.743,1.054,1.217,2.729,1.831,1.401,1.179,4.461,1.994,4.278,1.652,1.376,3.965,0.852,2.147,5.101,3.306,0.961,1.532,1.546,1.378
3.42,1.85,1.019,1.22,2.766,1.747,1.484,1.109,4.69,1.994,4.254,1.673,1.399,3.837,0.933,2.118,5.047,3.216,0.943,1.545,1.546,1.374
3.415,1.766,1.046,1.182,2.745,1.737,1.465,1.043,4.594,2.076,4.301,1.636,1.352,4.025,0.826,2.097,4.977,3.213,0.955,1.477,1.558,1.498
3.419,1.775,1.049,1.217,2.739,1.758,1.497,1.044,4.48,2.046,4.149,1.679,1.353,3.891,0.855,2.097,5.179,3.205,0.934,1.509,1.62,1.373
3.434,1.797,1.197,1.158,2.741,1.745,1.453,1.037,4.72,1.993,4.338,1.637,1.359,3.866,0.845,2.139,4.902,3.182,0.939,1.474,1.579,1.367
3.36,1.698,1.053,1.183,2.761,1.741,1.519,1.03,4.451,2.023,4.334,1.613,1.49,3.863,0.897,2.104,5.016,3.198,0.94,1.648,1.594,1.404
3.644,1.773,1.066,1.213,2.729,1.756,1.471,1.049,4.475,2.01,4.294,1.744,1.369,3.896,0.869,2.185,5.086,3.133,0.912,1.503,1.55,1.375
3.41,1.716,1.04,1.228,2.693,1.717,1.762,1.04,4.429,2.009,4.166,1.622,1.375,3.831,0.826,2.151,4.947,3.35,0.943,1.533,1.492,1.364
3.398,1.737,1.022,1.351,2.922,1.722,1.495,1.046,4.473,1.962,4.155,1.652,1.345,3.807,0.94,2.091,5.01,3.2,0.952,1.508,1.552,1.367
