RemoveTaskDesktopNotPresentTest,OpenTasksTest,OpenMilestoneTest,AddMilestoneTest,CloseMilestoneTest,AddAndRemoveMultipleTasksTest,RemoveMilestoneTest,LoginUserTest,RemoveUserFromProjectTest,AddProjectTest,AddAndRemoveLateMilestoneTest,SearchMultipleProjectsTest,AddUserEmptyValuesTest,OpenTasklistTest,SearchClosedProjectTest,AddTaskDesktopPresentTest,AddTasksTest,EditMilestoneTest,CloseTasksProjectPercentageTest,RemoveUserTest,CloseTasksTest,AssignUserToProjectTest,SearchProjectTest,EditUserRoleTest,EditProjectTest,AddUserAlreadyPresentTest,OpenProjectTest,AddUserTest,RemoveProjectTest,AddMultipleProjectsTest,CloseProjectTest,RemoveMultipleProjectsTest,AddTasklistTest,RemoveTasklistTest,OpenTasksProjectPercentageTest,RemoveRoleTest,CloseTasklistTest,AddRoleTest,EditRoleTest,RemoveTasksTest
3.157,4.636,2.522,3.632,2.581,10.02,34.282,1.091,4.596,5.423,6.767,1.799,2.973,1.973,0.922,4.053,5.071,4.824,3.192,2.759,5.583,2.425,0.87,2.442,4.405,2.023,2.032,2.228,2.165,5.339,2.121,7.43,3.393,2.711,3.837,2.519,2.955,2.356,2.266,4.575
3.495,4.687,2.465,3.363,2.85,10.335,34.328,1.105,4.54,5.301,6.693,2.073,2.801,2.303,1.006,3.888,4.681,5.001,3.339,2.864,5.686,2.475,0.949,2.204,4.577,2.168,2.066,2.275,2.228,5.143,2.295,7.015,3.088,2.885,4.103,2.399,2.905,2.494,2.323,4.421
3.239,5.101,2.431,3.716,2.607,10.229,34.221,1.06,4.426,5.493,6.879,1.816,2.844,2.067,0.981,4.013,4.654,5.03,3.285,2.659,5.531,2.383,1.074,2.125,4.494,1.991,2.108,2.502,2.071,5.062,2.147,7.378,3.113,2.705,3.666,2.493,3.109,2.432,2.706,4.407
3.19,4.67,2.688,3.507,2.623,10.473,34.434,1.114,4.717,5.403,6.649,1.772,3.028,2.21,1.169,3.936,4.582,4.611,3.172,2.459,5.849,2.584,1.17,2.172,4.397,1.921,2.363,2.397,1.973,5.11,2.048,7.524,3.115,2.666,3.606,2.342,2.925,2.395,2.24,4.525
3.302,5.722,2.496,3.385,2.786,10.357,34.262,1.082,4.476,5.527,6.567,2.463,2.8,2.194,0.96,3.883,4.771,4.661,3.194,2.483,5.8,2.453,0.933,2.298,4.472,2.118,2.103,2.256,2.042,5.16,2.286,7.1,3.104,2.591,3.701,2.346,3.166,2.482,2.244,4.589
3.263,4.719,2.497,3.394,2.896,10.423,34.299,1.152,4.544,5.565,6.96,2.047,2.791,2.21,0.966,3.998,4.656,4.887,3.256,2.661,5.649,2.439,1.058,2.194,4.414,1.934,2.109,2.415,1.982,5.258,2.351,7.441,3.129,2.932,3.596,2.578,2.966,2.835,2.336,4.551
3.255,4.932,2.456,3.639,2.653,10.042,34.304,1.043,4.7,5.653,7.065,2.019,2.849,2.087,0.969,4.409,4.864,4.555,3.144,2.519,5.563,2.687,1.001,2.26,4.779,1.963,2.358,2.248,2.053,5.23,2.168,7.243,3.125,2.724,3.531,2.547,3.055,2.485,2.279,4.404
3.305,4.855,2.608,3.44,2.965,10.951,34.277,1.102,4.69,5.706,6.792,1.879,2.965,1.991,0.912,3.936,4.603,4.705,3.189,2.463,5.682,2.436,0.979,2.178,4.516,1.893,2.78,2.303,2.053,5.097,2.256,7.266,3.185,2.691,3.829,2.429,2.887,2.637,2.238,4.376
3.314,4.582,2.459,3.657,2.754,10.331,34.351,1.053,4.445,5.271,6.559,2.01,2.738,2.033,0.988,4.066,4.8,4.72,3.507,2.436,5.514,2.335,1.043,2.284,4.422,2.188,2.054,2.236,2.236,5.099,2.111,7.18,3.142,2.829,3.708,2.381,2.821,4.072,2.49,4.47
3.478,4.886,2.461,3.3,2.567,11.054,34.431,1.086,4.398,5.37,7.069,1.86,2.826,2.181,0.971,3.97,4.913,4.681,3.379,2.447,5.685,2.412,0.988,2.199,4.406,1.977,2.019,2.297,2.239,5.209,2.277,7.188,3.153,2.72,3.629,2.573,4.048,2.469,2.229,4.441
3.375,5.461,2.705,3.371,2.584,10.411,34.333,1.227,4.372,5.528,7.741,1.961,2.851,2.106,0.969,3.91,4.709,4.947,3.19,2.409,6.609,2.489,0.877,2.278,4.559,2.012,2.139,2.292,2.079,5.259,2.333,7.167,3.58,2.765,3.591,2.405,2.998,2.421,2.577,4.493
