AddIssueEmptyTest,UpdateIssueStatusConfirmedTest,UpdateIssueSummaryTest,AddCategoryEmptyTest,UpdateProjectStatusTest,UpdateUserTest,ViewSummaryIssueTest,LoginNegativeTest,UpdateIssueStatusNewTest,LogoutTest,AddProjectTest,AddMultipleUsersTest,AddUserWrongTest,AddMultipleSubprojectsTest,UnlinkMultipleSubprojectsTest,DeleteProjectTest,UpdateProjectViewStatusTest,DeleteCategoryTest,DeleteMultipleSubprojectsTest,UpdateIssueStatusAssignedTest,AddIssueTest,AddUserEmptyTest,LinkMultipleSubprojectsTest,AssignIssueTest,UpdateIssuePriorityTest,AddProjectWrongTest,UpdateCategoryEmptyTest,AddProjectEmptyTest,AddUserTest,AddCategoryTest,UpdateIssueStatusAcknowledgedTest,UpdateIssueStatusFeedbackTest,DeleteUserTest,UpdateUserEmptyTest,DeleteIssueTest,DeleteMultipleUsersTest,UpdateIssueSeverityTest,AddCategoryWrongTest,UpdateIssueStatusResolvedTest,UpdateCategoryTest,UpdateProjectDescriptionTest
0.796,1.137,1.159,0.929,1.027,1.191,0.666,0.307,1.101,0.475,1.521,3.3,1.392,2.365,7.443,1.029,1.034,1.193,7.722,1.124,1.593,0.947,1.377,1.085,1.13,1.278,1.062,0.926,2.754,1.076,1.114,1.156,1.161,1.073,1.094,2.182,1.137,1.041,1.104,1.286,1.104
0.813,1.243,1.164,0.955,1.094,1.207,0.647,0.323,1.612,0.487,1.533,3.524,1.387,2.302,7.531,1.03,0.99,1.2,7.669,1.125,1.785,0.897,1.413,1.024,1.136,1.27,1.095,0.982,2.004,1.097,1.15,1.481,1.175,1.07,1.059,2.143,1.426,1.027,1.129,1.242,1.048
0.779,1.158,1.158,0.916,1.072,1.169,0.723,0.311,1.111,0.495,1.481,3.421,1.385,2.298,7.535,1.074,1.035,1.197,7.663,1.318,1.586,0.883,1.407,1.108,1.11,1.277,1.231,0.894,2.007,1.131,1.242,1.117,1.172,1.08,1.069,2.16,1.186,1.04,1.215,1.352,1.074
0.769,1.278,1.207,0.918,1.042,1.226,0.613,0.312,1.128,0.475,1.615,3.345,1.368,2.353,7.428,1.072,1.005,1.196,7.685,1.161,1.595,0.942,1.414,1.024,1.077,1.278,1.108,0.899,2.011,1.067,1.117,1.13,1.142,1.055,1.1,2.146,1.111,1.071,1.105,1.248,1.098
0.755,1.145,1.183,0.922,1.028,1.19,0.632,0.319,1.143,0.481,1.889,3.476,1.414,2.425,7.715,1.08,1.019,1.198,7.666,1.121,1.605,0.92,1.392,1.012,1.108,1.318,1.154,0.962,2.042,1.039,1.148,1.408,1.194,1.044,1.11,2.228,1.167,1.044,1.17,1.269,1.112
0.786,1.132,1.111,1.055,1.04,1.258,0.627,0.317,1.147,0.482,1.52,3.412,1.403,2.344,7.495,1.103,1.035,1.217,7.772,1.137,1.72,0.904,1.383,1.022,1.147,1.306,1.144,0.912,2.076,1.065,1.18,1.129,1.203,1.065,1.093,2.126,1.128,1.063,1.101,1.318,1.07
0.808,1.123,1.169,0.941,0.992,1.207,0.646,0.316,1.1,0.497,1.565,3.488,1.383,2.291,7.519,1.037,1.053,1.216,7.705,1.12,1.582,0.97,1.342,1.291,1.133,1.35,1.176,0.915,2.034,1.071,1.281,1.122,1.151,1.096,1.049,2.118,1.106,1.047,1.134,1.402,1.091
0.79,1.322,1.204,0.934,1.029,1.156,0.663,0.322,1.096,0.496,1.576,3.336,1.4,2.347,7.615,1.066,1.017,1.25,7.693,1.168,1.781,0.91,1.367,1.02,1.118,1.27,1.115,0.884,2.041,1.097,1.153,1.109,1.147,1.067,1.082,2.179,1.101,1.089,1.246,1.258,1.104
0.808,1.226,1.129,0.904,1.058,1.225,0.633,0.32,1.108,0.481,1.554,3.536,1.548,2.302,7.487,1.061,1.017,1.263,7.707,1.301,1.629,0.926,1.377,1.045,1.239,1.389,1.128,0.914,2.014,1.093,1.112,1.126,1.119,1.278,1.102,2.204,1.119,1.037,1.131,1.259,1.069
0.788,1.146,1.147,0.914,0.999,1.292,0.642,0.298,1.151,0.497,1.564,3.407,1.383,2.371,7.512,1.073,1.027,1.212,7.684,1.097,1.81,0.904,1.422,1.035,1.137,1.307,1.112,0.887,2.046,1.098,1.132,1.124,1.177,1.069,1.082,2.184,1.112,1.045,1.122,1.279,1.048
0.843,1.174,1.157,0.94,1.052,1.186,0.658,0.324,1.125,0.473,1.535,3.355,1.398,2.296,7.547,1.23,1.029,1.218,7.663,1.138,1.629,0.928,1.53,1.03,1.129,1.268,1.106,0.89,2.019,1.097,1.09,1.167,1.154,1.052,1.086,2.133,1.198,1.048,1.176,1.259,1.064
