Test case,Test result,Exec time,Clone time,Stop time
root,NONE,0.0,12.01,0.0,0.0
AddressBookAddAddressBookTest,PASSED,6.136,12.628,0.016
AddressBookAddGroupTest,PASSED,5.646,0.0,0.0
AddressBookSearchAddressBookNameTest,PASSED,16.324,0.0,0.325
AddressBookSearchAddressBookEmailTest,PASSED,17.657,0.0,0.36
AddressBookAddGroupTest,PASSED,20.059,3.937,0.004
AddressBookCheckBirthdayInfoTest,PASSED,17.584,0.0,0.386
AddressBookCheckAddressBookTest,PASSED,17.043,0.0,1.353
AddressBookPrintAddressBookTest,PASSED,18.186,0.0,0.517
AddressBookEditAddressBookTest,PASSED,18.22,0.0,0.354
AddressBookRemoveAddressBookTest,PASSED,16.711,0.0,0.0
AddressBookRemoveGroupTest,PASSED,13.614,0.0,0.0
AddressBookAssignToGroupTest,PASSED,10.052,1.804,0.013
AddressBookEditGroupTest,PASSED,13.735,0.0,0.0
AddressBookRemoveGroupTest,PASSED,11.752,0.0,0.0
AddressBookAddMultipleAddressBookTest,PASSED,24.372,10.431,0.005
AddressBookAddMultipleGroupsTest,PASSED,21.937,0.0,0.0
AddressBookSearchByGroupTest,PASSED,12.261,0.0,0.327
AddressBookEditGroupTest,PASSED,13.965,0.0,0.0
AddressBookRemoveAddressBookTest,PASSED,10.525,0.0,0.0
AddressBookRemoveAddressBookTest,PASSED,12.351,0.0,0.0
AddressBookSearchMultipleAddressBookNameTest,PASSED,23.707,0.0,0.73
AddressBookCheckMultipleBirthdaysInfoTest,PASSED,22.622,0.0,0.428
AddressBookCheckMultipleAddressBookTest,PASSED,19.113,0.0,0.347
AddressBookPrintMultipleAddressBookTest,PASSED,19.542,0.0,0.359
AddressBookEditMultipleAddressBookTest,PASSED,23.38,0.0,0.326
AddressBookRemoveMultipleAddressBookTest,PASSED,19.432,0.0,0.377
AddressBookRemoveMultipleGroupsTest,PASSED,13.471,0.0,0.341
AddressBookRemoveFromGroupTest,PASSED,16.574,0.0,0.371
AddressBookAddMultipleAddressBookTest,PASSED,34.409,0.0,0.0
AddressBookAddMultipleAddressBookTest,PASSED,34.932,0.0,0.0
AddressBookAddMultipleGroupsTest,PASSED,6.554,0.0,0.0
AddressBookAddMultipleGroupsTest,PASSED,6.502,0.0,0.0
AddressBookAssignToMultipleGroupsTest,PASSED,5.107,0.0,0.0
AddressBookAssignToMultipleGroupsTest,PASSED,5.191,0.0,0.0
AddressBookSearchByMultipleGroupsTest,PASSED,4.983,0.0,0.322
AddressBookEditMultipleGroupsTest,PASSED,7.372,0.0,0.0
AddressBookRemoveFromMultipleGroupsTest,PASSED,4.347,0.0,0.29
