Test case,Test result,Exec time,Clone time,Stop time
root,NONE,0.0,10.865,0.0,0.0
AddressBookAddAddressBookTest,PASSED,6.311,11.835,0.002
AddressBookAddGroupTest,PASSED,5.386,0.0,0.0
AddressBookSearchAddressBookNameTest,PASSED,14.115,0.0,0.327
AddressBookSearchAddressBookEmailTest,PASSED,16.296,0.0,0.355
AddressBookAddGroupTest,PASSED,18.484,3.285,0.004
AddressBookCheckBirthdayInfoTest,PASSED,16.072,0.0,0.343
AddressBookCheckAddressBookTest,FAILED,16.654,0.0,2.201
AddressBookPrintAddressBookTest,PASSED,15.424,0.0,1.449
AddressBookEditAddressBookTest,PASSED,16.595,0.0,0.338
AddressBookRemoveAddressBookTest,PASSED,15.919,0.0,0.0
AddressBookRemoveGroupTest,PASSED,8.539,0.0,0.0
AddressBookAssignToGroupTest,PASSED,9.938,1.513,0.009
AddressBookEditGroupTest,PASSED,11.768,0.0,0.0
AddressBookRemoveGroupTest,PASSED,10.66,0.0,0.0
AddressBookAddMultipleAddressBookTest,PASSED,21.066,9.122,0.002
AddressBookAddMultipleGroupsTest,PASSED,22.854,0.0,0.0
AddressBookSearchByGroupTest,PASSED,10.885,0.0,0.321
AddressBookEditGroupTest,PASSED,12.026,0.0,0.0
AddressBookRemoveAddressBookTest,PASSED,9.896,0.0,0.0
AddressBookRemoveAddressBookTest,PASSED,10.051,0.0,0.0
AddressBookSearchMultipleAddressBookNameTest,PASSED,21.589,0.0,0.346
AddressBookCheckMultipleBirthdaysInfoTest,PASSED,20.964,0.0,0.355
AddressBookCheckMultipleAddressBookTest,PASSED,18.464,0.0,0.33
AddressBookPrintMultipleAddressBookTest,PASSED,18.719,0.0,0.357
AddressBookEditMultipleAddressBookTest,PASSED,20.476,0.0,0.339
AddressBookRemoveMultipleAddressBookTest,PASSED,18.508,0.0,0.345
AddressBookRemoveMultipleGroupsTest,PASSED,11.893,0.0,0.348
AddressBookRemoveFromGroupTest,PASSED,17.953,0.0,0.356
AddressBookAddMultipleAddressBookTest,PASSED,29.874,0.0,0.0
AddressBookAddMultipleAddressBookTest,PASSED,29.483,0.0,0.0
AddressBookAddMultipleGroupsTest,PASSED,6.034,0.0,0.0
AddressBookAddMultipleGroupsTest,PASSED,6.162,0.0,0.0
AddressBookAssignToMultipleGroupsTest,PASSED,5.044,0.0,0.0
AddressBookAssignToMultipleGroupsTest,PASSED,4.399,0.0,0.0
AddressBookSearchByMultipleGroupsTest,PASSED,4.87,0.0,0.315
AddressBookEditMultipleGroupsTest,PASSED,7.73,0.0,0.0
AddressBookRemoveFromMultipleGroupsTest,PASSED,4.417,0.0,0.299
