Test case,Test result,Exec time,Clone time,Stop time
root,NONE,0.0,23.174,0.0,0.0
AddUserTest,PASSED,22.107,24.512,0.03
AddCourseTest,PASSED,28.947,18.808,0.065
SearchAdminTest,PASSED,29.703,0.0,2.358
AddEmptyUserTest,PASSED,24.277,0.0,1.964
AddWrongEmailUserTest,PASSED,35.481,0.0,1.247
AddWrongPasswordUserTest,PASSED,33.97,0.0,1.703
AddEmptyCourseTest,PASSED,32.047,0.0,2.309
AddPasswordCourseTest,PASSED,43.088,0.0,0.0
AddDeniedCourseTest,PASSED,41.889,0.0,0.0
SearchUserTest,PASSED,41.371,0.0,0.393
LoginUserTest,PASSED,35.758,0.0,0.361
AddCourseTest,PASSED,45.295,0.0,0.0
AddMultipleUsersTest,PASSED,57.177,6.276,0.004
AddTwiceUserTest,PASSED,43.23,0.0,0.396
AddDeniedCourseTest,PASSED,40.495,0.0,0.0
AddPasswordCourseTest,PASSED,39.056,2.358,0.005
RemoveUserTest,PASSED,33.914,0.0,0.356
SearchCourseTest,PASSED,37.517,0.0,0.389
SearchAllowedCourseTest,PASSED,37.55,0.0,0.339
AddCourseExerciseTest,PASSED,39.607,2.011,0.013
AddCourseEventTest,PASSED,39.724,0.0,0.0
RemoveCourseTest,PASSED,30.982,0.0,0.705
SearchAndRemovePasswordCourseTest,PASSED,31.621,0.0,0.375
SearchAndRemoveDeniedCourseTest,PASSED,33.126,0.0,2.671
EnrolUserTest,PASSED,26.684,3.74,0.002
SearchMultipleUsersTest,PASSED,33.452,0.0,0.369
SearchStudentTest,PASSED,31.945,0.0,0.356
SearchTeacherTest,PASSED,31.258,0.0,0.342
RemoveMultipleUsersTest,PASSED,31.836,0.0,0.327
EnrolDeniedCourseTest,PASSED,30.04,0.0,0.364
EnrolPasswordCourseWrongPasswordUserTest,PASSED,35.244,0.0,0.372
EnrolPasswordCourseGoodPasswordUserTest,PASSED,34.464,0.0,0.337
AddCourseExerciseQuestionsTest,PASSED,47.683,0.0,0.0
RemoveCourseExerciseTest,PASSED,34.503,0.0,0.386
RemoveCourseEventTest,PASSED,32.494,0.0,0.375
AddCourseExerciseTest,PASSED,26.974,0.0,0.0
AddMultipleUsersTest,PASSED,28.643,0.0,0.0
RemoveEnrolUserTest,PASSED,23.465,0.0,0.34
RemoveCourseExerciseQuestionsTest,PASSED,7.495,0.0,0.339
MakeCourseExerciseVisibleTest,PASSED,5.56,0.0,0.0
EnrolMultipleUsersTest,FAILED,12.666,0.0,0.0
AddCourseExerciseQuestionsTest,PASSED,11.291,1.528,0.006
RemoveEnrolMultipleUsersTest,FAILED,5.273,0.0,0.385
DoCourseExerciseQuestionsTest,PASSED,7.11,0.0,0.0
AddMultipleUsersTest,PASSED,9.434,0.0,0.0
ViewProfileStatisticsUserTest,PASSED,4.364,0.0,0.307
EnrolMultipleUsersTest,FAILED,9.585,0.0,0.0
DoCourseExerciseQuestionsMultipleUsersTest,FAILED,9.242,0.0,0.335
