Test case,Test result,Exec time,Clone time,Stop time
root,NONE,0.0,14.584,0.0,0.0
AddProjectTest,FAILED,23.238,3.527,0.005
AddUserEmptyValuesTest,PASSED,29.126,0.0,0.317
AddMultipleProjectsTest,PASSED,35.305,0.0,0.0
RemoveRoleTest,PASSED,25.838,0.0,0.331
SearchProjectTest,FAILED,18.608,0.0,0.352
CloseProjectTest,FAILED,51.504,1.569,0.004
EditProjectTest,FAILED,46.282,0.0,0.0
SearchMultipleProjectsTest,PASSED,13.361,0.0,0.297
SearchClosedProjectTest,PASSED,11.064,0.0,0.354
OpenProjectTest,FAILED,41.677,2.449,0.011
CloseProjectTest,FAILED,38.608,0.0,0.0
AddRoleTest,SKIPPED,11.185,1.148,0.013
AddMilestoneTest,FAILED,50.115,1.707,0.005
AddAndRemoveLateMilestoneTest,FAILED,49.513,0.0,0.379
OpenProjectTest,FAILED,38.97,0.0,0.0
EditRoleTest,FAILED,25.922,0.0,0.0
AddUserTest,SKIPPED,15.573,3.568,0.007
EditMilestoneTest,FAILED,58.588,0.0,0.35
CloseMilestoneTest,FAILED,59.089,0.0,0.0
AddMultipleProjectsTest,PASSED,54.491,0.0,0.0
AddUserTest,FAILED,1.0737833333333335,0.0,0.0
LoginUserTest,FAILED,59.658,0.0,0.379
AddUserAlreadyPresentTest,FAILED,42.855,0.0,0.369
AssignUserToProjectTest,SKIPPED,26.744,0.0,0.0
OpenMilestoneTest,FAILED,38.234,1.199,0.008
RemoveMultipleProjectsTest,FAILED,48.897,0.0,0.0
EditUserRoleTest,FAILED,13.247,0.0,0.356
RemoveUserFromProjectTest,SKIPPED,22.382,0.0,0.0
AddTasklistTest,FAILED,40.786,0.0,0.0
RemoveMilestoneTest,FAILED,40.984,0.0,0.295
RemoveProjectTest,PASSED,10.985,0.0,0.311
RemoveUserTest,SKIPPED,13.823,0.0,0.369
CloseTasklistTest,FAILED,36.921,0.0,0.0
OpenTasklistTest,FAILED,37.282,2.466,0.005
AddAndRemoveMultipleTasksTest,FAILED,45.49,0.0,0.463
AddTaskDesktopPresentTest,FAILED,45.335,0.0,0.0
RemoveTasklistTest,FAILED,44.617,0.0,0.374
RemoveTaskDesktopNotPresentTest,FAILED,37.321,0.0,0.0
AddTasksTest,FAILED,36.936,0.0,0.0
CloseTasksTest,FAILED,37.389,0.0,0.0
OpenTasksTest,FAILED,37.078,0.0,0.0
CloseTasksProjectPercentageTest,FAILED,37.362,0.0,0.0
OpenTasksProjectPercentageTest,FAILED,37.534,0.0,0.0
RemoveTasksTest,FAILED,37.403,0.0,0.274
