Test case,Test result,Exec time,Clone time,Stop time
root,NONE,0.0,16.404,0.0,0.0
AddUserTest,PASSED,17.46,8.808,0.008
AddUserEmptyTest,PASSED,15.074,0.0,0.348
AddProjectTest,PASSED,17.185,17.542,0.002
AddProjectEmptyTest,PASSED,14.714,0.0,1.809
LoginNegativeTest,PASSED,12.221,0.0,0.373
LogoutTest,PASSED,12.52,0.0,0.774
AddUserWrongTest,PASSED,14.129,0.0,1.339
UpdateUserTest,PASSED,25.548,0.0,0.387
UpdateUserEmptyTest,PASSED,28.058,0.0,0.441
DeleteUserTest,PASSED,29.402,0.0,0.0
AddProjectWrongTest,FAILED,42.227,0.0,0.311
AddCategoryTest,FAILED,50.62,6.974,0.735
AddCategoryEmptyTest,PASSED,27.03,0.0,0.34
AddIssueEmptyTest,PASSED,23.956,0.0,0.31
UpdateProjectDescriptionTest,PASSED,24.381,0.0,0.408
UpdateProjectStatusTest,PASSED,23.533,0.0,0.372
UpdateProjectViewStatusTest,PASSED,21.601,0.0,0.36
DeleteProjectTest,PASSED,21.935,0.0,0.0
AddMultipleUsersTest,PASSED,9.784,0.0,0.0
AddCategoryWrongTest,FAILED,8.418,0.0,0.331
AddIssueTest,FAILED,39.934,10.402,0.016
UpdateCategoryTest,FAILED,39.786,0.0,0.517
UpdateCategoryEmptyTest,FAILED,36.69,0.0,1.149
DeleteCategoryTest,FAILED,36.956,0.0,0.501
AddMultipleSubprojectsTest,PASSED,7.334,0.0,0.0
DeleteMultipleUsersTest,PASSED,6.535,0.0,0.287
ViewSummaryIssueTest,FAILED,36.893,0.0,0.352
UpdateIssuePriorityTest,FAILED,39.989,0.0,0.365
UpdateIssueSeverityTest,FAILED,41.108,0.0,0.336
AssignIssueTest,FAILED,41.674,9.322,0.01
UpdateIssueSummaryTest,FAILED,41.236,0.0,2.316
DeleteIssueTest,FAILED,41.656,0.0,1.527
UnlinkMultipleSubprojectsTest,PASSED,1.1156499999999998,0.0,0.0
UpdateIssueStatusNewTest,FAILED,39.784,0.0,0.335
UpdateIssueStatusFeedbackTest,FAILED,41.73,0.0,0.327
UpdateIssueStatusAcknowledgedTest,FAILED,42.534,0.0,0.296
UpdateIssueStatusConfirmedTest,FAILED,41.22,0.0,0.283
UpdateIssueStatusAssignedTest,FAILED,39.707,0.0,0.412
UpdateIssueStatusResolvedTest,FAILED,39.52,0.0,0.295
LinkMultipleSubprojectsTest,PASSED,9.212,0.0,0.0
DeleteMultipleSubprojectsTest,PASSED,1.0977833333333333,0.0,0.346
