Test case,Test result,Exec time,Clone time,Stop time
root,NONE,0.0,9.115,0.0,0.0
AddBuildingTest,PASSED,8.401,5.251,0.03
AddLongNameBuildingNegativeTest,PASSED,11.405,0.0,2.189
SearchEntryNegativeTest,PASSED,10.458,0.0,1.741
AddRoomTest,PASSED,12.508,7.46,0.004
AddLongNameRoomNegativeTest,PASSED,16.147,0.0,0.379
AddAndRemoveSerialEntryTest,PASSED,28.812,0.0,0.784
RemoveBuildingTest,PASSED,16.902,0.0,0.356
CheckBuildingRoomTest,PASSED,16.396,0.0,0.395
AddEntryTest,PASSED,18.079,1.697,0.006
AddMultipleEntriesSameRoomDifferentDaysTest,PASSED,29.448,0.0,0.333
AddMultipleEntriesSameRoomSameDayTest,PASSED,24.983,0.0,0.0
RemoveRoomTest,PASSED,16.369,0.0,0.0
CheckEntryTest,PASSED,12.485,0.0,0.336
RemoveEntryTest,PASSED,13.906,0.0,0.31
SearchMultipleEntriesTest,PASSED,7.885,0.0,0.908
AddMultipleRoomsTest,PASSED,15.571,3.082,0.004
CheckMultipleBuildingRoomsTest,FAILED,8.238,0.0,0.302
AddMultipleEntriesDifferentRoomsSameDayTest,PASSED,11.9,0.0,0.0
RemoveMultipleRoomsTest,PASSED,8.393,0.0,0.312
AddMultipleEntriesDifferentRoomsDifferentDaysTest,PASSED,6.447,1.206,0.004
CheckMultipleEntriesTest,PASSED,6.865,0.0,0.312
RemoveMultipleEntriesTest,PASSED,10.454,0.0,0.271
